"id","y","x1","x2","x3","eta"
"1",0,0.59157391730696,5.78417087909434,0,-0.127869361696846
"1",0,-0.720717531628907,7.29961936115444,0,-1.78478978561436
"1",0,-0.769119956530631,5.15670298737573,0,-1.4897959064817
"1",0,-1.12092947494239,5.046733527518,1,-1.25005677917193
"1",0,-0.522044536657631,5.09658583408244,0,-1.20991965956668
"1",1,1.9368768138811,5.0697662309003,1,2.06401136168953
"1",0,-1.38319079671055,3.15152722466233,0,-1.66383362103247
"1",0,-1.63582400046289,3.32887294135776,1,-1.39276177657592
"1",0,-1.43237236887217,4.9224610332088,0,-2.16313157848612
"1",1,0.760028406046331,4.4189326194335,1,0.924180289440231
"1",0,0.477025933563709,5.05473652505743,1,0.482611591454393
"1",0,1.56557646859437,2.88879162673947,1,2.22349739775999
"1",1,0.691996370442212,3.50130174547324,1,1.08310881807041
"1",0,0.948310951702297,3.89851656106126,1,1.2538244466562
"1",1,0.0845429031178355,5.98605822106025,1,-0.112455655046716
"1",0,0.639353798702359,3.90150999290988,1,0.917747272972788
"1",1,1.28722184058279,4.20048604642347,1,1.54703858165425
"1",0,1.14512620680034,5.07987381867405,0,0.602736733198539
"1",1,1.9192876694724,4.67725363817489,1,2.12550555256812
"1",0,-0.242273855023086,5.14641717866796,1,-0.316015866985489
"1",0,-0.753191191703081,7.30506198204569,0,-1.82077860958894
"1",1,-0.362100189551711,3.87539632874176,0,-0.762409936366716
"1",0,-1.95813155267388,4.6945303600902,0,-2.68632481389568
"1",0,-1.26460190396756,4.48324055025627,0,-1.88758865127844
"1",1,1.37091727554798,6.51239542683245,1,1.19936570659751
"1",1,-1.07535287179053,4.23051507710972,0,-1.62417526866792
"1",1,-1.04360017739236,4.91791309622428,1,-1.14027475044265
"1",0,-1.69323533866554,5.78713361432271,0,-2.60807333083365
"1",1,-1.01710528787225,3.9414094640516,0,-1.4901740996024
"1",1,0.928540822118521,6.65517581574201,0,0.0975692671147047
"1",1,1.38981266040355,5.67576241547425,1,1.35737522082027
